Sno,Dialogue,Font
image0,।,20
image1,सुरक्षित कनेक्शन लैंडलाइन छल्ले,20
image2,डॉक्टर फिंच कॉल चुनता है और एक एआई उत्पन्न आवाज उसे एक बारह अंकों की संख्या देता है जिसे वह एक कागज पर नोट करता है,20
image3,यह दिनांक और समय भी देता है।और फिर अचानक काट दिया जाता है।,20
image4,"फिंच अपने ठिकाने तक पहुंचता है, इस बात पर भ्रम की भावना के साथ कि बारह अंकों की संख्या का क्या अर्थ है।",20
image5,"फिंच ने अपने बोर्ड को संख्या चिपका दी, जहां पिछली तारीखों के साथ कई अन्य बारह अंक संख्याएं हैं।",20
image6,"फिंच हैरान है और सोचता है कि संख्या का क्या अर्थ है, इसे कैसे डिकोड किया जाए।",20
image7,"वह कई जटिल अल्गोर्थिम्स जैसे पैटर्न मैचिंग चलाता है, लेकिन बारह अंकों की संख्या को हल करने में विफल रहता है।",20
image8,फ्लैशबैक: फिंच प्रोजेक्ट आइज़ के मुख्य वैज्ञानिक हैं जहां उन्हें मशीन बनाने के लिए नामित किया गया है।,20
image9,"अपनी सभी विशेषज्ञता के साथ, वह भविष्य को आगे बढ़ाने के लिए एआई प्रौद्योगिकी की मदद से विश्व स्तर पर आतंकी हमलों का पता लगाने के लिए एक जटिल एल्गोरिथ्म बनाता है।",20
image10,!!!!!,20
image11,फिंच ने सरकारी अधिकारियों को मशीन के बारे में सूचित करने के लिए कहा,20
image12,"एथन हंट, अमेरिकी सरकार के मुख्य रक्षा के मुख्य बचाव ने डॉ। फिंच को सफलतापूर्वक परियोजना की आंखों के निर्माण के लिए बधाई दी।",20
image13,"डॉ। फिंच: अधिकारी हंट, लेकिन मुझे मशीन के परिणाम के साथ एक मुद्दा मिला।",20
image14,"डॉ। फिंच: यदि आप इस परिणाम को देख सकते हैं, तो एआई मुख्य रूप से आतंकी हमलों को दूर करने के लिए बनाया गया था, लेकिन आम लोगों के बीच हिंसा की पहचान करना शुरू कर देता है।",20
image15,एथन: एआई का एकमात्र उद्देश्य सरकार की जरूरतों को पूरा करना है जो हर व्यक्ति की नहीं है।हम हर हिंसा को रोक नहीं सकते हैं और यह हमारी चिंता नहीं है।,20
image16,"एथन: उन आंकड़ों को ""अप्रासंगिक"" के रूप में चिह्नित करें
डॉ। फिंच: लेकिन हम उन लोगों को निराश कर रहे हैं जिन्हें इस तकनीक तक पहुंचने का हर अधिकार है।",20
image17,"डॉ। फिंच: कृपया मुझे इन हिंसक घटनाओं को रोकने में मदद करें
एथन: सॉरी फ़िंच जो आपके निर्णय का निर्णय नहीं है।हमारा अनुबंध यहां समाप्त होता है।",20
image18,डॉ। फिंच: यह उचित नहीं है।कृपया मत छोड़ो,20
image19,डॉ। फिंच एथन के फैसले से निराश हैं।,20
image20,एथन अपने पीए और शेड्यूल को कॉल करता है ताकि वैज्ञानिक तक एआई की पहुंच को दूर किया जा सके और इसे एक सुरक्षित स्थान पर ले जाया जा सके।,20
image21,डॉ। फिंच तथाकथित अप्रासंगिक डेटा तक पहुंचने के लिए एक बैकडोर कोड डिजाइन करता है,20
image22,बैकडोर कोड सफलतापूर्वक प्रयासों की एक श्रृंखला के बाद उत्पन्न होता है,20
image23,!!!!!,20
image24,AI डॉफिंच से संपर्क करने के लिए सबसे सुरक्षित तरीका चुनता है। सार्वजनिक टेलीफोन के माध्यम से सार्वजनिक कैमरों तक पहुंचकर डॉफिंच स्थान को मान्यता देता है,20
image25,माइकल किंग का अनुसरण करने के लिए Dr.Finch को संदेश मिलता है,20
image26,Dr.Finch डेटाबेस की खोज करता है और माइकल किंग को ढूंढता है जो सरकार के रडार से एक भूत है,20
image27,डॉ। फिंच राजा का अनुसरण करता है,20
image28,राजा को पता चलता है कि उसका पालन किया जा रहा है और इसका कारण पता लगाने के लिए डॉ।,20
image29,राजा डॉ। फिंच को एक पूर्व-सिया ब्लैकसाइट पर ले जाता है और उसे बंद कर देता है,20
image30,राजा ने डॉ। फिनच को सच्चाई से बाहर निकालने की धमकी दी,20
image31,"राजा: आप किस एजेंसी से संबंधित हैं और उन्होंने आपको कितना भुगतान किया है?Dr.Finch: इसे आसान लो, मैं आपको समझा सकता हूं।मेरी आईडी पर एक नज़र डालें।",20
image32,!!!!!,20
image33,Dr.Finch: आप सभी को प्रोजेक्ट आइज़ को एक सैद्धांतिक अवधारणा के रूप में जाना जाना चाहिए।लेकिन यह मौजूद है और मैं वह हूं जिसने इसे बनाया है।,20
image34,Dr.Finch: लेकिन अब सरकार ने इसका नियंत्रण ले लिया है और मैं क्लूलेस छोड़ दिया हूं।,20
image35,डॉ। फिंच: मुझे सीआईए द्वारा अमेरिकी इतिहास के सबसे गुप्त मिशन में से एक का नेतृत्व करने के लिए आमंत्रित किया गया था।,20
image36,"Dr.Finch: हमने एरिया 53 में काम किया, जिसे आप जैसे सैन्य अधिकारियों तक भी पहुँचा नहीं जा सकता।",20
image37,D.FINCH: हमारा लक्ष्य एक परिष्कृत AI मशीन का निर्माण करना था जो वैश्विक आतंकी हमलों को देख सकता है इससे पहले कि वे हो सकें।,20
image38,Dr.Finch: हम इंटरनेट से जुड़ी हर चीज तक पहुंचने के लिए आधुनिक तकनीक का लाभ उठाते हैं।,20
image39,डॉ। फिंच: हमने एक सुपर एआई का निर्माण किया है जो अपने द्वारा किए गए निर्णयों और इसके परिणाम के आधार पर स्वयं विकसित होता है।लेकिन सरकार ने आम पेओपल को बचाने के लिए इसका इस्तेमाल नहीं करने का फैसला किया,20
image40,Dr.Finch: लेकिन मेरे पास अन्य विचार थे।इसलिए मैंने अपनी मृत्यु को रोक दिया और अंडरकवर चला गया।,20
image41,किंग के साथ डॉ। फिंच फिंच के हिडन लैब तक पहुंचता है,20
image42,Dr.Finch: जैसा कि आप देख सकते हैं कि मशीन मुझे कुछ यादृच्छिक 12-अंकीय संख्या देती है।,20
image43,"राजा: यह सब ठीक है, तुम मुझसे क्या चाहते हो?",20
image44,Dr.Finch: यहां तक कि मुझे नहीं पता कि AI ने एक आकस्मिक योजना के हिस्से के रूप में आपके नाम का उल्लेख किया है।और मुझे आपका अनुसरण करने के लिए कहता है।,20
image45,"राजा: ये लोगों की सामाजिक सुरक्षा संख्या, अपराध की तारीख और समय है",20
image46,राजा: मैं अनुमान लगा सकता हूं कि एआई मुझे क्यों चुनता है।,20
image47,"राजा: उसकी दो सप्ताह पहले हत्या कर दी गई थी और एआई सही था।D.FINCH: आप उसे बचा सकते थे, अगर आपके पास यह जानकारी पहले थी।",20
image48,Dr.Finch: अब मैं आपको अन्य जीवन को बचाने का अवसर दे सकता हूं।राजा: मुझे गिनो!,20
image49,Dr.Finch: AI ने हाल ही में नंबर दिया है और हमें यह पता लगाना है कि वह पीड़ित है या पर्सन,20
image50,राजा: तो यह व्यक्ति कौन है?!,20
image51,डॉ। फिंच: मैंने उस व्यक्ति को रेमंड होने के लिए पहचाना है और हमें उसका पीछा करना शुरू करना है।राजा: आप यह कैसे करते हैं?,20
image52,Dr.Finch: AI I का निर्माण कैमरों और माइक्रोफोन के माध्यम से सब कुछ देखता है और सुनता है।,20
image53,Dr.Finch: यह स्ट्रीट कैमरा और व्यक्तिगत मोबाइल फोन फ़ीड के माध्यम से चेहरे की पहचान का उपयोग करने वाले लोगों को ट्रैक करता है।,20
image54,फिंच और किंग रेमंड का अनुसरण करने का फैसला करते हैं।,20
image55,वे रेमंड गतिविधियों को ट्रैक करते हैं और अपने स्थान पर पहुंचते हैं।,20
image56,इस बीच रेमंड एक अज्ञात व्यक्ति से मिलता है ताकि वह काम करे कि उसे क्या करना है।,20
image57,उन्होंने रेमंड को देखा और उसके करीब पहुंच गए।,20
image58,वे रेमंड को लापरवाही से पूंछने का फैसला करते हैं कि वह अपने बारे में अधिक इंटेल इकट्ठा करने के लिए।,20
image59,वे उसका ट्रैक खो देते हैं और राजा को होश कुछ बड़ा होने वाला है।,20
image60,फिंच ने रेमंड्स को फोन किया और उसे ट्रैक करने के लिए बग को सक्रिय कर दिया।,20
image61,रेमंड एक बैक डोर के माध्यम से एक उच्च सुरक्षित सरकारी भवन में प्रवेश करता है।,20
image62,एआई रेमंड के बारे में कहां देता है और इसे उच्च प्राथमिकता के रूप में विचार करने की मांग करता है।,20
image63,फिंच और किंग अपने डिजिटल पैरों के निशान निकालते हैं और रेमंड का अनुसरण करते हैं।,20
image64,रेमंड एक उच्च सुरक्षित सरकारी भवन में प्रवेश करता है।,20
image65,"Dr.Finch: राजा वहाँ एक समस्या होने जा रही है, मैं इस जगह को पहचानता हूं।",20
image66,डॉ। फिंच: यह वह जगह है जहां एआई सुरक्षित संरक्षित है और रेमंड इसे एक्सेस करने की कोशिश कर रहा है।,20
image67,राजा: चलो यह देखने के लिए प्रवेश करते हैं कि वह क्या करता है,20
image68,Dr.Finch: वह पर्पटेटर है।वह एआई को मारने की कोशिश करता है।,20
image69,रेमंड मशीन की खोज पर उत्साहित हो जाता है।,20
image70,रेमंड एआई के मूल तंत्रिका स्कीमा को बदलने के लिए मास्टर पोर्ट तक पहुंचने की कोशिश करता है।,20
image71,नया तंत्रिका स्कीमा लोड हो रहा है।,20
image72,रेमंड ने दुर्भावनापूर्ण कोड को इंजेक्ट करना शुरू कर दिया।,20
image73,फिंच और किंग ने उसे लाल हाथ से पकड़ लिया और न्यूरल स्कीमा अपलोड को रोक दिया।,20
image74,राजा रेमंड को बंदूक की नोक पर ले जाता है और उसे फिंच के साथ एक बालकसाइट में निकालता है।,20
image75,राजा: मुझे बताओ कि तुम मशीन को क्यों मारना चाहते हो?रेमंड: मैं मशीन को मारने की कोशिश नहीं कर रहा हूं।मेरे पास एक बड़ी तस्वीर है!,20
image76,"राजा: स्मार्ट कार्य न करें।इसके पीछे के बड़े नामों को प्रकट करें या आपके मरें।रेमंड: पकड़ो, मैं आपको नाम दूंगा।",20
image77,रेमंड: इसका एथन हंट और एडम्स।वे चाहते हैं कि मैं एक कोड इंजेक्ट करूं ताकि एआई का उपयोग कुछ अरबपतियों को बचाने के लिए किया जा सके।वे एआई की निगरानी करने की योजना बना रहे हैं।,20
image78,डॉ। फिंच: मैं उन्हें जानता हूं।वे नहीं चाहते कि उनका नाम ऐसा करना है और इसलिए रेमंड को भेजा गया है।,20
image79,Dr.Finch: वे अमेरिकी सरकार के शीर्ष स्तर पर काम करने वाले एक बुद्धिमान अधिकारी ग्रेड हैं!,20
image80,"Dr.Finch: यह वहाँ कार्यालय है, लेकिन हम इसकी दृष्टि में भी नहीं जा सकते।",20
image81,स्थान: सरकार मुख्यालय - वाशिंगटन डीसी,20
image82,एडम निराश है क्योंकि वह फिंच द्वारा बैकडोर कोड के बारे में कुछ इंटेल मिलता है,20
image83,एथन एडम्स से मिलने के लिए एक नियुक्ति शेड्यूल करता है,20
image84,एथन: क्या मैं अंदर आ सकता हूं?एडम्स: हाँ कृपया।,20
image85,एथन: एथन हंट ड्यूटी पर रिपोर्टिंग!,20
image86,"एथन: सर, यहां सफलता की रिपोर्ट है कि एआई मशीन कितनी अच्छी तरह से प्रदर्शन कर रही है",20
image87,एडम रिपोर्ट पढ़ता है और पाता है कि बैकडोर कोड के बारे में कोई जानकारी नहीं है,20
image88,एडम (क्रोधित): रिपोर्ट आप की तरह ही *** से भरी हुई है,20
image89,"एडम: यह देखें, बहुत बड़ा छेद है जिसे आपने किसी का ध्यान नहीं दिया",20
image90,एथन: हमने इस कोड को ठीक करने की कोशिश की लेकिन कोई इसे ओवरराइड कर रहा है।एडम: मुझे पता है कि यह कौन है।यह डॉ। फिंच है!,20
image91,"एथन: लेकिन सर, वह हमारे रिकॉर्ड के अनुसार मर चुका है।एडम: नहीं, वह नहीं है, मैं उसे इस बार असली के लिए मरना चाहता हूं।",20
image92,एडम को लगता है कि अरबपति के लिए एआई एक्सेस प्रदान करने के लिए वादा की गई समय सीमा के रूप में दबाव डाला गया है,20
image93,"एथन: हमें कुछ भी पीछे छोड़ने के बिना, वैज्ञानिक और उसके संसाधनों पर कब्जा करना होगा।",20
